State,Year,population,property_crime_rate,burglary_rate,larceny_rate,motor_theft_rate,violent_crime_rate,assault_rate,murder_rate,rape_rate,robbery_rate,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,Unemployment_rate
Alabama,2000,4447100,4059.7,906.9,2864.8,288.0,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,4.6
Alabama,2001,4468912,3876.8,909.4,2685.0,282.4,438.2,274.1,8.5,30.6,125.0,173253,40642,119992,12619,19582,12250,379,1369,5584,5.2
Alabama,2002,4478896,4027.8,950.6,2767.0,310.1,445.0,268.0,6.8,37.2,133.1,180400,42578,123932,13890,19931,12002,303,1664,5962,5.9
Alabama,2003,4503726,4046.4,960.2,2754.1,332.1,429.2,251.7,6.6,36.8,134.1,182241,43245,124039,14957,19331,11338,299,1656,6038,6.0
Alabama,2004,4525375,4029.3,987.0,2732.4,309.9,427.0,249.4,5.6,38.5,133.5,182340,44666,123650,14024,19324,11286,254,1742,6042,5.6
Alabama,2005,4548327,3900.0,955.8,2656.0,289.0,433.0,248.3,8.2,34.4,141.7,177393,43473,120780,13140,19678,11293,374,1564,6447,4.4
Alabama,2006,4599030,3941.0,973.7,2640.8,326.5,425.2,227.5,8.3,35.8,153.6,181249,44780,121451,15018,19553,10463,382,1646,7062,4.0
Alabama,2007,4627851,3977.7,980.6,2689.5,307.7,448.9,246.7,8.9,33.4,159.9,184082,45379,124465,14238,20775,11417,412,1548,7398,4.1
Alabama,2008,4661900,4084.5,1081.3,2714.3,288.9,452.8,253.0,7.5,34.7,157.6,190416,50411,126539,13466,21110,11795,351,1618,7346,5.8
Alabama,2009,4708708,3780.4,1037.3,2507.5,235.5,450.1,278.3,6.8,31.9,133.1,178007,48844,118072,11091,21194,13103,322,1504,6265,10.1
Alabama,2010,4785401,3528.0,887.8,2414.9,225.3,383.7,248.0,5.7,28.3,101.6,168828,42484,115564,10780,18363,11869,275,1355,4864,10.4
Alabama,2011,4803689,3605.4,1064.2,2319.3,222.0,419.8,282.9,6.2,28.5,102.1,173192,51119,111411,10662,20166,13591,299,1370,4906,9.6
Alabama,2012,4822023,3502.2,984.7,2312.8,204.8,449.9,311.8,7.1,26.9,104.1,168878,47481,111523,9874,21693,15035,342,1296,5020,8.2
Alabama,2013,4833722,3351.3,877.8,2254.8,218.7,430.8,285.2,7.2,42.3,96.2,161993,42429,108993,10571,20826,13787,347,2044,4648,7.3
Alabama,2014,4849377,3177.6,819.0,2149.5,209.1,427.4,283.4,5.7,41.3,96.9,154094,39715,104238,10141,20727,13745,276,2005,4701,6.7
Alabama,2015,4858979,2978.9,725.6,2040.7,212.7,472.4,328.3,7.2,42.0,94.9,144746,35255,99156,10335,22952,15954,348,2039,4611,6.1
Alabama,2016,4863300,2947.8,700.5,2006.3,241.1,532.3,388.2,8.4,39.4,96.4,143362,34065,97574,11723,25886,18877,407,1916,4686,5.9
Alabama,2017,4874747,2957.3,645.7,2048.1,263.4,524.2,387.8,8.3,41.6,86.5,144160,31477,99842,12841,25551,18902,404,2028,4217,4.5
Alabama,2018,4887871,2817.2,590.1,1958.9,268.3,519.6,387.6,7.8,40.8,83.4,137700,28841,95747,13112,25399,18944,383,1996,4076,3.9
Alabama,2019,4903185,2674.4,531.9,1886.1,256.5,510.8,381.0,7.3,42.2,80.4,131133,26079,92477,12577,25046,18679,358,2068,3941,3.2
Alaska,2000,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,6.3
Alaska,2001,633630,3655.1,607.1,2634.8,413.2,589.5,423.1,6.2,79.1,81.1,23160,3847,16695,2618,3735,2681,39,501,514,6.3
Alaska,2002,641482,3759.7,609.2,2765.3,385.2,565.4,404.4,5.1,79.7,76.2,24118,3908,17739,2471,3627,2594,33,511,489,7.2
Alaska,2003,648280,3761.6,597.6,2784.4,379.6,598.0,429.9,6.0,93.3,68.8,24386,3874,18051,2461,3877,2787,39,605,446,7.7
Alaska,2004,657755,3370.9,573.6,2456.7,340.6,632.3,473.9,5.6,84.8,68.0,22172,3773,16159,2240,4159,3117,37,558,447,7.4
Alaska,2005,663253,3615.0,622.8,2601.0,391.0,632.0,465.4,4.8,81.1,81.0,23975,4131,17249,2595,4194,3087,32,538,537,6.9
Alaska,2006,670053,3578.1,620.1,2579.5,378.5,688.0,516.7,5.4,76.4,89.5,23975,4155,17284,2536,4610,3462,36,512,600,6.6
Alaska,2007,683478,3379.2,546.3,2476.9,356.0,661.3,490.3,6.3,79.7,85.0,23096,3734,16929,2433,4520,3351,43,545,581,6.3
Alaska,2008,686293,2927.3,471.7,2218.4,237.2,652.1,489.0,3.9,65.1,94.0,20090,3237,15225,1628,4475,3356,27,447,645,6.5
Alaska,2009,698473,2940.4,515.4,2183.5,241.5,633.4,463.2,3.1,73.4,93.6,20538,3600,15251,1687,4424,3235,22,513,654,8.0
Alaska,2010,714146,2836.8,434.8,2175.3,226.7,635.3,473.2,4.3,74.6,83.2,20259,3105,15535,1619,4537,3379,31,533,594,8.2
Alaska,2011,723860,2637.8,394.0,2052.1,191.7,610.1,466.1,4.1,60.2,79.6,19094,2852,14854,1388,4416,3374,30,436,576,7.8
Alaska,2012,731449,2739.4,403.3,2128.0,208.1,603.2,433.2,4.1,79.7,86.1,20037,2950,15565,1522,4412,3169,30,583,630,7.2
Alaska,2013,735132,2885.2,396.7,2258.0,230.6,640.4,425.5,4.6,125.4,84.9,21210,2916,16599,1695,4708,3128,34,922,624,7.0
Alaska,2014,736732,2760.0,427.6,2096.4,236.0,635.8,440.2,5.6,104.7,85.4,20334,3150,15445,1739,4684,3243,41,771,629,6.7
Alaska,2015,738432,2817.6,475.5,2065.1,277.1,730.2,497.1,8.0,122.0,103.1,20806,3511,15249,2046,5392,3671,59,901,761,6.3
